id;description;maximum;minimum;createdAt;updatedAt;dietGroupId;ingredientId
492;;80;;2017-12-05 18:36:50.218+00;2017-12-05 18:36:50.218+00;150;33
493;;80;;2017-12-05 18:36:51.096+00;2017-12-05 18:36:51.096+00;144;33
494;;80;;2017-12-05 18:36:52.492+00;2017-12-05 18:36:52.492+00;83;33
495;;80;;2017-12-05 18:36:53.712+00;2017-12-05 18:36:53.712+00;103;33
496;;80;;2017-12-05 18:36:54.583+00;2017-12-05 18:36:54.583+00;119;33
497;;80;;2017-12-05 18:36:55.46+00;2017-12-05 18:36:55.46+00;1;33
498;;80;;2017-12-05 18:36:56.162+00;2017-12-05 18:36:56.162+00;26;33
499;;100;;2017-12-05 18:36:57.385+00;2017-12-05 18:36:57.385+00;90;185
500;;100;;2017-12-05 18:36:59.321+00;2017-12-05 18:36:59.321+00;69;185
501;;100;;2017-12-05 18:37:01.401+00;2017-12-05 18:37:01.401+00;9;185
502;;100;;2017-12-05 18:37:02.617+00;2017-12-05 18:37:02.617+00;79;185
503;;100;;2017-12-05 18:37:03.489+00;2017-12-05 18:37:03.489+00;116;185
504;;100;;2017-12-05 18:37:04.703+00;2017-12-05 18:37:04.703+00;50;185
505;;100;;2017-12-05 18:37:06.101+00;2017-12-05 18:37:06.101+00;5;185
506;;100;;2017-12-05 18:37:06.973+00;2017-12-05 18:37:06.973+00;150;185
507;;100;;2017-12-05 18:37:07.859+00;2017-12-05 18:37:07.859+00;144;185
508;;100;;2017-12-05 18:37:09.253+00;2017-12-05 18:37:09.253+00;83;185
509;;100;;2017-12-05 18:37:10.492+00;2017-12-05 18:37:10.492+00;103;185
510;;100;;2017-12-05 18:37:11.373+00;2017-12-05 18:37:11.373+00;119;185
511;;100;;2017-12-05 18:37:12.253+00;2017-12-05 18:37:12.253+00;1;185
512;;100;;2017-12-05 18:37:12.956+00;2017-12-05 18:37:12.956+00;26;185
