id;description;name;userName;createdAt;updatedAt;ingredientGroupId
146;;Mn, From Manganese Sulphate Pentahydrate;;2017-12-05 18:19:26.855+00;2017-12-05 18:19:26.855+00;11
147;;Mo, From Ammonium Molybdate;;2017-12-05 18:19:30.285+00;2017-12-05 18:19:30.285+00;11
148;;Mo, From Molybdenum Trioxide;;2017-12-05 18:19:33.671+00;2017-12-05 18:19:33.671+00;11
149;;Mo, From Sodium Molybdate Dihydrate;;2017-12-05 18:19:37.037+00;2017-12-05 18:19:37.037+00;11
150;;Molasses Meal;;2017-12-05 18:19:40.43+00;2017-12-05 18:19:40.43+00;7
151;;Molasses, Sugarcane (Syrup);;2017-12-05 18:19:43.876+00;2017-12-05 18:19:43.876+00;7
152;;Mono- Ammonium Phosphate;;2017-12-05 18:19:47.195+00;2017-12-05 18:19:47.195+00;4
153;;Na And Cl, As Salt;;2017-12-05 18:19:50.653+00;2017-12-05 18:19:50.653+00;10
154;;Na, Cl And I, As Iodized Salt;;2017-12-05 18:19:54.148+00;2017-12-05 18:19:54.148+00;10
155;;Niacin, As Nicotinic Acid (Vitamin B3);;2017-12-05 18:19:57.427+00;2017-12-05 18:19:57.427+00;8
156;;Oat Hay;;2017-12-05 18:20:00.859+00;2017-12-05 18:20:00.859+00;2
157;;Oat Hulls;;2017-12-05 18:20:04.308+00;2017-12-05 18:20:04.308+00;2
158;;Oat Silage (Dough Stage);;2017-12-05 18:20:07.565+00;2017-12-05 18:20:07.565+00;3
159;;Oat Straw;;2017-12-05 18:20:10.97+00;2017-12-05 18:20:10.97+00;2
160;;Oats, (Naked) Grain;;2017-12-05 18:20:14.303+00;2017-12-05 18:20:14.303+00;7
161;;Oats, Grain;;2017-12-05 18:20:17.656+00;2017-12-05 18:20:17.656+00;7
162;;Oats, Groats;;2017-12-05 18:20:21.001+00;2017-12-05 18:20:21.001+00;7
163;;Olive Oil;;2017-12-05 18:20:24.396+00;2017-12-05 18:20:24.396+00;5
164;;P, As Ammonium Di-Phosphate;;2017-12-05 18:20:27.857+00;2017-12-05 18:20:27.857+00;10
165;;P, As Ammonium Mono-Phosphate;;2017-12-05 18:20:31.321+00;2017-12-05 18:20:31.321+00;10
166;;P, As Ground Rock Phosphate;;2017-12-05 18:20:34.709+00;2017-12-05 18:20:34.709+00;10
167;;Palm Kernel Oil;;2017-12-05 18:20:38.077+00;2017-12-05 18:20:38.077+00;5
168;;Palm Oil;;2017-12-05 18:20:41.546+00;2017-12-05 18:20:41.546+00;5
169;;Pantot, As Pantothenic Acid (Vitamin B5);;2017-12-05 18:20:44.895+00;2017-12-05 18:20:44.895+00;8
170;;Pea Seeds;;2017-12-05 18:20:48.268+00;2017-12-05 18:20:48.268+00;9
171;;Peanut O/C Meal, Mech Extr.;;2017-12-05 18:20:51.629+00;2017-12-05 18:20:51.629+00;9
172;;Peanut O/C Meal, Solv Extr.;;2017-12-05 18:20:54.976+00;2017-12-05 18:20:54.976+00;9
173;;Peanut Oil;;2017-12-05 18:20:58.382+00;2017-12-05 18:20:58.382+00;5
174;;Phe, As DL-, D-, Or L-Phenylalanine;;2017-12-05 18:21:01.759+00;2017-12-05 18:21:01.759+00;6
175;;Poultry Fat;;2017-12-05 18:21:05.09+00;2017-12-05 18:21:05.09+00;5
176;;Proline, As Proline;;2017-12-05 18:21:08.396+00;2017-12-05 18:21:08.396+00;6
177;;Restaurant Grease;;2017-12-05 18:21:11.872+00;2017-12-05 18:21:11.872+00;5
178;;Rice Grain, Groats;;2017-12-05 18:21:15.264+00;2017-12-05 18:21:15.264+00;7
179;;Rice Hulls;;2017-12-05 18:21:18.806+00;2017-12-05 18:21:18.806+00;2
180;;Rye, Grain;;2017-12-05 18:21:22.329+00;2017-12-05 18:21:22.329+00;7
181;;Sulphur, As Ammonium Sulphate ((NH4)2SO4);;2017-12-05 18:21:25.733+00;2017-12-05 18:21:25.733+00;11
182;;Sulphur, As Flowers Sulphur (S);;2017-12-05 18:21:26.3+00;2017-12-05 18:21:26.3+00;11
183;;Safflower Meal, Solv Ext.;;2017-12-05 18:21:26.836+00;2017-12-05 18:21:26.836+00;9
184;;Safflower Meal, W/O Hulls;;2017-12-05 18:21:30.185+00;2017-12-05 18:21:30.185+00;9
185;;Safflower Oil;;2017-12-05 18:21:33.61+00;2017-12-05 18:21:33.61+00;5
186;;Se, From Sodium Selenate Decahydrate;;2017-12-05 18:21:36.963+00;2017-12-05 18:21:36.963+00;11
187;;Se, From Sodium Selenite;;2017-12-05 18:21:40.301+00;2017-12-05 18:21:40.301+00;11
188;;Ser, As L-Serine;;2017-12-05 18:21:43.689+00;2017-12-05 18:21:43.689+00;6
189;;Sesame Meal, Mech Ext.;;2017-12-05 18:21:47.06+00;2017-12-05 18:21:47.06+00;9
190;;Sesame Oil;;2017-12-05 18:21:50.453+00;2017-12-05 18:21:50.453+00;5
191;;Sockeye Salmon Oil;;2017-12-05 18:21:53.874+00;2017-12-05 18:21:53.874+00;5
192;;Sorghum Silage;;2017-12-05 18:21:57.184+00;2017-12-05 18:21:57.184+00;3
193;;Sorghum, Grain;;2017-12-05 18:22:00.469+00;2017-12-05 18:22:00.469+00;7
194;;Sorghum-Sudan Silage;;2017-12-05 18:22:03.763+00;2017-12-05 18:22:03.763+00;3
195;;Soybean Hulls;;2017-12-05 18:22:07.054+00;2017-12-05 18:22:07.054+00;2
196;;Soybean Meal, Mech Ext., 42% Crude Protein;;2017-12-05 18:22:10.353+00;2017-12-05 18:22:10.353+00;9
197;;Soybean Meal, Solv, 44% Crude Protein;;2017-12-05 18:22:13.715+00;2017-12-05 18:22:13.715+00;9
198;;Soybean Meal, Solv, 49% Crude ProteinCP;;2017-12-05 18:22:17.097+00;2017-12-05 18:22:17.097+00;9
199;;Soybean Oil;;2017-12-05 18:22:20.472+00;2017-12-05 18:22:20.472+00;5
200;;Soybean Silage;;2017-12-05 18:22:23.857+00;2017-12-05 18:22:23.857+00;3
201;;Sunflower O/C, W/O Hulls;;2017-12-05 18:22:27.216+00;2017-12-05 18:22:27.216+00;9
202;;Sunflower O/C, With Hulls;;2017-12-05 18:22:30.584+00;2017-12-05 18:22:30.584+00;9
203;;Sunflower Oil;;2017-12-05 18:22:33.633+00;2017-12-05 18:22:33.633+00;5
204;;Sunflower Seed Hulls;;2017-12-05 18:22:36.957+00;2017-12-05 18:22:36.957+00;2
205;;Taurine, As Taurine;;2017-12-05 18:22:41.082+00;2017-12-05 18:22:41.082+00;6
206;;Thr, As L-Threonine;;2017-12-05 18:22:45.829+00;2017-12-05 18:22:45.829+00;6
207;;Timothy Hay;;2017-12-05 18:22:50.834+00;2017-12-05 18:22:50.834+00;2
208;;Trace Min Premix Alpacas & Llamas (Formulate Using 1 kg);;2017-12-05 18:22:54.445+00;2017-12-05 18:22:54.445+00;12
209;;Trace Mineral Premix For Antelope (Formulate Using 1 kg);;2017-12-05 18:23:00.165+00;2017-12-05 18:23:00.165+00;12
210;;Trace Mineral Premix For Cats (Formulate Using 1 kg);;2017-12-05 18:23:04.252+00;2017-12-05 18:23:04.252+00;12
211;;Trace Mineral Premix For Cattle (Formulate Using 1 kg);;2017-12-05 18:23:08.268+00;2017-12-05 18:23:08.268+00;12
212;;Trace Mineral Premix For Deer (Formulate Using 1 kg);;2017-12-05 18:23:11.982+00;2017-12-05 18:23:11.982+00;12
213;;Trace Mineral Premix For Dogs (Formulate Using 1 kg);;2017-12-05 18:23:15.626+00;2017-12-05 18:23:15.626+00;12
214;;Trace Mineral Premix For Fish (Formulate Using 2 kg);;2017-12-05 18:23:18.908+00;2017-12-05 18:23:18.908+00;12
215;;Trace Mineral Premix For Goats (Formulate Using 1 kg);;2017-12-05 18:23:22.645+00;2017-12-05 18:23:22.645+00;12
216;;Trace Mineral Premix For Horses (Formulate Using 1 kg);;2017-12-05 18:23:26.224+00;2017-12-05 18:23:26.224+00;12
217;;Trace Mineral Premix For Pigs (Formulate Using 1 kg);;2017-12-05 18:23:29.724+00;2017-12-05 18:23:29.724+00;12
218;;Trace Mineral Premix For Poultry (Formulate Using 1 kg);;2017-12-05 18:23:33.704+00;2017-12-05 18:23:33.704+00;12
219;;Trace Mineral Premix For Rabbits (Formulate Using 1 kg);;2017-12-05 18:23:37.427+00;2017-12-05 18:23:37.427+00;12
220;;Trace Mineral Premix For Sheep (Formulate Using 1 kg);;2017-12-05 18:23:41.113+00;2017-12-05 18:23:41.113+00;12
221;;Trace Mineral Premix For Shrimp (Formulate Using 2 kg);;2017-12-05 18:23:44.604+00;2017-12-05 18:23:44.604+00;12
222;;Trace Mineral Premix For Zebra (Formulate Using 1 kg);;2017-12-05 18:23:47.995+00;2017-12-05 18:23:47.995+00;12
223;;Triticale, Grain;;2017-12-05 18:23:51.459+00;2017-12-05 18:23:51.459+00;7
224;;Trp, As L-Tryptophan;;2017-12-05 18:23:55.043+00;2017-12-05 18:23:55.043+00;6
225;;Tyr, As L-Tyrosine;;2017-12-05 18:23:58.412+00;2017-12-05 18:23:58.412+00;6
226;;Urea, 46% Nitrogen;;2017-12-05 18:24:01.727+00;2017-12-05 18:24:01.727+00;4
227;;Val, As L-Valine;;2017-12-05 18:24:03.194+00;2017-12-05 18:24:03.194+00;6
228;;Vitamin A, From Vitamin A Acetate 250;;2017-12-05 18:24:06.503+00;2017-12-05 18:24:06.503+00;8
229;;Vitamin A, From Vitamin A Acetate 325;;2017-12-05 18:24:09.734+00;2017-12-05 18:24:09.734+00;8
230;;Vitamin A, From Vitamin A Acetate 500;;2017-12-05 18:24:12.973+00;2017-12-05 18:24:12.973+00;8
231;;Vitamin A, From Vitamin A Palmitate 250;;2017-12-05 18:24:16.271+00;2017-12-05 18:24:16.271+00;8
232;;Vitamin A, From Vitamin A Palmitate 500;;2017-12-05 18:24:19.564+00;2017-12-05 18:24:19.564+00;8
233;;Vitamin B1, (Thiamine), From Vita-B1 Supplied By Allivet;;2017-12-05 18:24:23.056+00;2017-12-05 18:24:23.056+00;8
234;;Vitamin B1, From Thiamine Hydrochloride 98%;;2017-12-05 18:24:26.374+00;2017-12-05 18:24:26.374+00;8
235;;Vitamin B1, From Thiamine Mono-Nitrate 98%;;2017-12-05 18:24:29.773+00;2017-12-05 18:24:29.773+00;8
236;;Vitamin B12, As The 1.0 % Product (Cyanocobalamin);;2017-12-05 18:24:33.066+00;2017-12-05 18:24:33.066+00;8
237;;Vitamin B12, As The 0.1% Product (Cyanocobalamin);;2017-12-05 18:24:36.443+00;2017-12-05 18:24:36.443+00;8
238;;Vitamin B12, As The 10.0% Product (Cyanocobalamin);;2017-12-05 18:24:39.724+00;2017-12-05 18:24:39.724+00;8
239;;Vitamin B2, As The 0.1% Product (Riboflavin);;2017-12-05 18:24:43.005+00;2017-12-05 18:24:43.005+00;8
240;;Vitamin B2, As The 1% Product (Riboflavin);;2017-12-05 18:24:46.346+00;2017-12-05 18:24:46.346+00;8
241;;Vitamin B6, (Pyridoxine);;2017-12-05 18:24:49.688+00;2017-12-05 18:24:49.688+00;8
242;;Vitamin C, As A Fat-Coated Ascorbic Acid;;2017-12-05 18:24:53.154+00;2017-12-05 18:24:53.154+00;8
243;;Vitamin C, As A Phosphorylated Ascorbic Acid;;2017-12-05 18:24:56.767+00;2017-12-05 18:24:56.767+00;8
244;;Vitamin C, As An Ethylcellulose-Coated Ascorbic Acid;;2017-12-05 18:25:00.097+00;2017-12-05 18:25:00.097+00;8
245;;Vitamin D, From Vitamin D2 Oil (Ergocalciferol);;2017-12-05 18:25:03.453+00;2017-12-05 18:25:03.453+00;8
