id;value;createdAt;updatedAt;ingredientId;nutrientId
302;0.7;2017-12-05 18:11:41.467+00;2017-12-05 18:11:41.467+00;4;47
304;52;2017-12-05 18:11:41.468+00;2017-12-05 18:11:41.468+00;4;12
305;54.6;2017-12-05 18:11:41.468+00;2017-12-05 18:11:41.468+00;4;13
306;52;2017-12-05 18:11:41.468+00;2017-12-05 18:11:41.468+00;4;14
307;0.68;2017-12-05 18:11:41.468+00;2017-12-05 18:11:41.468+00;4;43
308;0.22;2017-12-05 18:11:41.468+00;2017-12-05 18:11:41.468+00;4;44
309;0.53;2017-12-05 18:11:41.469+00;2017-12-05 18:11:41.469+00;4;42
310;0.84;2017-12-05 18:11:41.469+00;2017-12-05 18:11:41.469+00;4;45
311;32;2017-12-05 18:11:41.469+00;2017-12-05 18:11:41.469+00;4;65
312;3.2;2017-12-05 18:11:41.469+00;2017-12-05 18:11:41.469+00;4;74
314;9.6;2017-12-05 18:11:41.47+00;2017-12-05 18:11:41.47+00;4;75
315;7;2017-12-05 18:11:41.47+00;2017-12-05 18:11:41.47+00;4;76
318;100;2017-12-05 18:11:41.47+00;2017-12-05 18:11:41.47+00;4;67
319;7.8;2017-12-05 18:11:41.471+00;2017-12-05 18:11:41.471+00;4;68
320;28.09;2017-12-05 18:11:41.471+00;2017-12-05 18:11:41.471+00;4;63
321;35.2;2017-12-05 18:11:44.896+00;2017-12-05 18:11:44.896+00;5;9
323;0.45;2017-12-05 18:11:44.897+00;2017-12-05 18:11:44.897+00;5;31
324;0.24;2017-12-05 18:11:44.897+00;2017-12-05 18:11:44.897+00;5;36
326;0.3;2017-12-05 18:11:44.897+00;2017-12-05 18:11:44.897+00;5;69
327;1.19;2017-12-05 18:11:44.898+00;2017-12-05 18:11:44.898+00;5;48
328;29.9;2017-12-05 18:11:44.898+00;2017-12-05 18:11:44.898+00;5;4
330;1330;2017-12-05 18:11:44.898+00;2017-12-05 18:11:44.898+00;5;70
331;0.35;2017-12-05 18:11:44.898+00;2017-12-05 18:11:44.898+00;5;49
332;0.3;2017-12-05 18:11:44.899+00;2017-12-05 18:11:44.899+00;5;56
333;14.2;2017-12-05 18:11:44.899+00;2017-12-05 18:11:44.899+00;5;2
335;10.4;2017-12-05 18:11:44.899+00;2017-12-05 18:11:44.899+00;5;58
336;0.12;2017-12-05 18:11:44.899+00;2017-12-05 18:11:44.899+00;5;38
337;2.28;2017-12-05 18:11:44.9+00;2017-12-05 18:11:44.9+00;5;15
338;2.02;2017-12-05 18:11:44.9+00;2017-12-05 18:11:44.9+00;5;16
339;2.28;2017-12-05 18:11:44.9+00;2017-12-05 18:11:44.9+00;5;17
340;1.98;2017-12-05 18:11:44.9+00;2017-12-05 18:11:44.9+00;5;18
341;1.17;2017-12-05 18:11:44.9+00;2017-12-05 18:11:44.9+00;5;19
342;2.02;2017-12-05 18:11:44.901+00;2017-12-05 18:11:44.901+00;5;20
343;88;2017-12-05 18:11:44.901+00;2017-12-05 18:11:44.901+00;5;1
344;1.76;2017-12-05 18:11:44.901+00;2017-12-05 18:11:44.901+00;5;5
345;1.76;2017-12-05 18:11:44.901+00;2017-12-05 18:11:44.901+00;5;6
346;92;2017-12-05 18:11:44.901+00;2017-12-05 18:11:44.901+00;5;11
347;250;2017-12-05 18:11:44.902+00;2017-12-05 18:11:44.902+00;5;60
348;4.32;2017-12-05 18:11:44.902+00;2017-12-05 18:11:44.902+00;5;71
349;0.52;2017-12-05 18:11:44.902+00;2017-12-05 18:11:44.902+00;5;46
350;0.24;2017-12-05 18:11:44.902+00;2017-12-05 18:11:44.902+00;5;32
353;0.44;2017-12-05 18:11:44.903+00;2017-12-05 18:11:44.903+00;5;33
354;1.56;2017-12-05 18:11:44.903+00;2017-12-05 18:11:44.903+00;5;53
355;0.78;2017-12-05 18:11:44.903+00;2017-12-05 18:11:44.903+00;5;34
356;0.18;2017-12-05 18:11:44.904+00;2017-12-05 18:11:44.904+00;5;7
357;0.474;2017-12-05 18:11:44.904+00;2017-12-05 18:11:44.904+00;5;35
358;0.95;2017-12-05 18:11:44.904+00;2017-12-05 18:11:44.904+00;5;22
359;1.85;2017-12-05 18:11:44.904+00;2017-12-05 18:11:44.904+00;5;21
360;0.95;2017-12-05 18:11:44.904+00;2017-12-05 18:11:44.904+00;5;23
361;0.859;2017-12-05 18:11:44.905+00;2017-12-05 18:11:44.905+00;5;24
362;1.06;2017-12-05 18:11:44.905+00;2017-12-05 18:11:44.905+00;5;25
363;1.5;2017-12-05 18:11:44.905+00;2017-12-05 18:11:44.905+00;5;26
364;1.65;2017-12-05 18:11:44.905+00;2017-12-05 18:11:44.905+00;5;27
365;0.16;2017-12-05 18:11:44.905+00;2017-12-05 18:11:44.905+00;5;37
366;0.3;2017-12-05 18:11:44.906+00;2017-12-05 18:11:44.906+00;5;50
367;28;2017-12-05 18:11:44.906+00;2017-12-05 18:11:44.906+00;5;61
368;2.5;2017-12-05 18:11:44.906+00;2017-12-05 18:11:44.906+00;5;64
369;0.13;2017-12-05 18:11:44.906+00;2017-12-05 18:11:44.906+00;5;54
