Group 1,Group 2,Feedstuff,Minimum,Maximum
,Cats,"Molasses, sugarcane (syrup)",0,80
,Fish,"Molasses, sugarcane (syrup)",0,80
,Pigs,"Molasses, sugarcane (syrup)",0,80
,Horses,"Molasses, sugarcane (syrup)",0,80
,Rabbits,"Molasses, sugarcane (syrup)",0,80
,Dairy Cattle,"Molasses, sugarcane (syrup)",0,80
,Game,"Molasses, sugarcane (syrup)",0,80
,Dogs,"Molasses, sugarcane (syrup)",0,80
,Alpacas and Llamas,"Molasses, sugarcane (syrup)",0,80
,Pigeons,"Molasses, sugarcane (syrup)",0,80
,Sheep,Choice white grease,0,100
,Beef Cattle,Choice white grease,0,100
,Poultry,Choice white grease,0,100
,Goats,Choice white grease,0,100
,Cats,Choice white grease,0,100
,Fish,Choice white grease,0,100
,Pigs,Choice white grease,0,100
,Horses,Choice white grease,0,100
,Rabbits,Choice white grease,0,100
,Dairy Cattle,Choice white grease,0,100
,Game,Choice white grease,0,100
,Dogs,Choice white grease,0,100
,Alpacas and Llamas,Choice white grease,0,100
,Pigeons,Choice white grease,0,100
,Sheep,"Blood meal, flash dried",0,80
,Beef Cattle,"Blood meal, flash dried",0,80
,Poultry,"Blood meal, flash dried",0,80
,Goats,"Blood meal, flash dried",0,80
,Cats,"Blood meal, flash dried",0,80
,Fish,"Blood meal, flash dried",0,80
,Pigs,"Blood meal, flash dried",0,80
,Horses,"Blood meal, flash dried",0,80
,Rabbits,"Blood meal, flash dried",0,80
,Dairy Cattle,"Blood meal, flash dried",0,80
,Game,"Blood meal, flash dried",0,80
,Dogs,"Blood meal, flash dried",0,80
,Alpacas and Llamas,"Blood meal, flash dried",0,80
,Pigeons,"Blood meal, flash dried",0,80
,Sheep,Butter,0,100
,Beef Cattle,Butter,0,100
,Poultry,Butter,0,100
,Goats,Butter,0,100
,Cats,Butter,0,100
,Fish,Butter,0,100
,Pigs,Butter,0,100
,Horses,Butter,0,100
,Rabbits,Butter,0,100
,Dairy Cattle,Butter,0,100
,Game,Butter,0,100
,Dogs,Butter,0,100
,Alpacas and Llamas,Butter,0,100
