id;value;ingredientId;nutrientId
1572;2.08;20;30
1577;0.534;20;39
1582;0;20;47
1587;0.34;20;43
1592;4.39;20;74
1597;0;20;66
1604;0.27;21;36
1609;0;21;80
1614;0;21;57
1619;2.69;21;17
1624;2.13;21;5
1629;0;21;46
1633;0.38;21;33
1639;2.27;21;21
1644;2.87;21;27
1649;0.029;21;54
1654;75.28;21;72
1659;33.54;21;3
1664;74.5;21;12
1669;0.278;21;42
1674;1.53;21;75
1678;22.25;21;67
1681;14.82;22;9
1690;0;22;69
1695;0;22;58
1699;0;22;18
1704;1.13;22;5
1709;0;22;46
1713;0;22;79
1719;0.852;22;21
1722;0;22;25
1727;0;22;61
1732;0.529;22;30
1737;0;22;39
1742;0;22;47
1747;0;22;43
1752;0;22;74
1757;0;22;66
1764;0;23;52
1767;0.27;23;48
1774;4.93;23;58
1779;1.92;23;16
1184;0;15;13
1190;0;15;45
1195;0;15;76
1200;0;15;63
1202;0;16;8
1208;0;16;4
1213;0;16;2
1218;8.455;16;16
1223;99;16;1
1228;0;16;71
1233;0;16;33
1237;0;16;35
1242;8.105;16;25
1247;0;16;61
1252;5.185;16;30
1257;0;16;39
1261;0;16;41
1266;177;16;14
1271;0;16;65
1276;0;16;78
1285;99.5;17;31
1290;0;17;70
1295;0;17;58
1300;0;17;18
1305;0;17;6
1310;0;17;32
1315;0;17;34
1320;2.6;17;23
1325;0;17;37
1330;0;17;10
1335;0;17;51
1340;0;17;55
1345;0;17;13
1348;0;17;42
1353;0;17;77
1358;0;17;67
1361;0;18;9
1366;0;18;69
1371;0;18;49
1376;0;18;38
1381;0;18;19
1386;0;18;11
1391;0;18;59
1396;0;18;7
1401;2.6;18;24
1406;0;18;50
1412;0;18;30
1418;0;18;40
1421;0;18;41
1426;0;18;14
1432;0;18;74
1440;0;18;63
1442;0;19;8
1448;0;19;80
1453;10.8;19;2
1458;3.6;19;16
1463;11.3;19;5
1469;0.82;19;46
1474;0.39;19;53
1479;3.16;19;21
1484;3.23;19;27
1489;1.48;19;54
1494;25.6;19;72
1499;16.42;19;3
1504;81.8;19;12
1509;0.36;19;42
1513;0;19;77
1519;0;19;68
1521;0;20;8
1526;0.146;20;69
1532;0.107;20;49
1538;3.5;20;16
1543;85;20;1
1548;0.554;20;71
1553;0.38;20;33
1558;2;20;22
1563;2.69;20;26
1567;0.9;20;64
1571;1.33;20;29
1576;7.87;20;73
1581;0.165;20;62
1586;80;20;14
1591;0;20;65
1596;0;20;78
1605;0;21;52
1610;994.5;21;70
1615;7.83;21;58
1620;3.13;21;18
1625;2.13;21;6
1630;0.24;21;32
1635;0.422;21;53
1640;1.93;21;23
1643;2.51;21;26
1648;0.9;21;64
1653;1.66;21;28
1658;0;21;40
1663;0;21;41
1668;0.105;21;44
1673;0;21;77
1679;0.192;21;68
1682;0;22;8
1689;0;22;70
1694;0;22;57
1696;1.29;22;15
1703;39;22;1
1708;0;22;71
1715;1.002;22;53
1718;0;22;22
1724;0;22;27
1728;0.9;22;64
1733;0.516;22;28
1738;0;22;40
1743;0;22;41
1748;0;22;44
1753;0;22;77
1758;0;22;67
1761;42.2;23;9
1766;0;23;69
1775;0.61;23;49
1780;1.47;23;18
1185;0;15;12
1189;0;15;42
1194;0;15;75
1199;0;15;68
1201;0;16;9
1206;0;16;69
1211;0;16;49
1216;0;16;38
1221;8.455;16;19
1226;0;16;11
1232;0;16;59
1238;8.983;16;22
1243;8.105;16;26
1248;0;16;64
1253;5.185;16;28
1258;0;16;40
1263;0;16;47
1268;0;16;44
1273;0;16;75
1279;0;16;68
1281;0;17;9
1286;0;17;69
1291;0;17;49
1296;0;17;38
1301;0;17;19
1306;0;17;11
1311;0;17;59
1316;0;17;7
1321;2.6;17;24
1326;0;17;50
1331;0;17;29
1336;0;17;73
1341;0;17;62
1346;0;17;14
1352;0;17;74
1357;0;17;66
1365;0;18;52
1370;0;18;70
1375;0;18;58
1380;0;18;18
1385;0;18;6
1390;0;18;32
1395;0;18;34
1400;2.6;18;23
1405;0;18;37
1410;0;18;10
1415;0;18;51
1420;0;18;55
1425;0;18;13
1430;0;18;45
1434;0;18;76
1437;0;18;66
1444;0.088;19;52
1449;923;19;70
1452;1.22;19;56
1459;3.57;19;17
1462;3.6;19;20
1467;28;19;60
1472;0;19;79
1477;0.27;19;35
1482;3.71;19;25
1487;65;19;61
1492;1.88;19;30
1497;0.5;19;39
1502;0.65;19;47
1507;0.33;19;43
1511;4.2;19;65
1516;0;19;78
1523;0.27;20;36
1528;4.25;20;4
1533;11;20;2
1537;2.92;20;15
1542;3.5;20;20
1547;71.39;20;60
1552;0;20;79
1557;0.4;20;35
1562;3.06;20;25
